po_number,material_id,vendor,po_creation_date,expected_delivery_date,goods_receipt_date,ordered_qty,received_qty,po_status
GR-PO-000211,37,Northern Cape Engineering Supplies (Pty) Ltd,2026-02-09,2026-05-26,2026-06-19,18,18,DELIVERED
GR-PO-000212,37,Springbok Bearing & Drive Co (Pty) Ltd,2025-08-21,2025-12-05,2025-12-16,9,9,DELIVERED
GR-PO-000213,37,Postmasburg Valve & Fittings (Pty) Ltd,2024-10-12,2025-01-26,2025-02-12,16,16,DELIVERED
GR-PO-000214,39,Orange River Industrial Distributors (Pty) Ltd,2026-04-12,2026-08-16,2026-08-20,11,11,DELIVERED
GR-PO-000215,39,Northern Cape Industrial Distributors (Pty) Ltd,2025-08-04,2025-12-08,2026-01-09,17,17,DELIVERED
GR-PO-000216,39,Upington Valve & Fittings (Pty) Ltd,2025-07-13,2025-11-16,2025-12-04,6,6,DELIVERED
GR-PO-000217,39,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-09-13,2026-01-17,2026-01-28,12,12,DELIVERED
GR-PO-000218,39,Orange River Industrial Distributors (Pty) Ltd,2025-05-30,2025-10-03,2025-09-20,14,14,DELIVERED
GR-PO-000219,39,Orange River Bearing & Drive Co (Pty) Ltd,2024-09-16,2025-01-20,2025-01-22,7,7,DELIVERED
GR-PO-000220,39,Highveld Mining Equipment Traders (Pty) Ltd,2026-01-18,2026-05-24,2026-06-15,16,16,DELIVERED
GR-PO-000221,39,Springbok Bearing & Drive Co (Pty) Ltd,2026-07-14,2026-11-17,2026-11-04,6,6,DELIVERED
GR-PO-000222,40,Karoo Industrial Distributors (Pty) Ltd,2024-11-08,2025-02-02,2025-01-19,17,17,DELIVERED
GR-PO-000223,40,Aggeneys Pump Solutions (Pty) Ltd,2026-07-17,2026-10-11,2026-10-16,19,19,DELIVERED
GR-PO-000224,40,Bushveld Engineering Supplies (Pty) Ltd,2026-01-03,2026-03-30,2026-03-04,14,14,DELIVERED
GR-PO-000225,40,Escarpment Electromechanical Ltd (Pty) Ltd,2025-03-31,2025-06-25,2025-07-04,2,2,DELIVERED
GR-PO-000226,40,Kuruman Spares & Components (Pty) Ltd,2025-09-17,2025-12-12,2025-12-21,11,11,DELIVERED
GR-PO-000227,40,Kuruman Spares & Components (Pty) Ltd,2026-03-10,2026-06-04,2026-05-12,8,8,DELIVERED
GR-PO-000228,40,Drakensberg Spares & Components (Pty) Ltd,2025-06-09,2025-09-03,2025-08-26,8,8,DELIVERED
GR-PO-000229,41,Springbok Industrial Supplies (Pty) Ltd,2026-06-26,2026-11-02,2026-11-13,14,14,DELIVERED
GR-PO-000230,41,Kuruman Pump Solutions (Pty) Ltd,2025-04-07,2025-08-14,2025-09-08,2,2,DELIVERED
GR-PO-000231,41,Waterberg Bearing & Drive Co (Pty) Ltd,2025-12-12,2026-04-20,2026-04-08,19,19,DELIVERED
GR-PO-000232,41,Springbok Valve & Fittings (Pty) Ltd,2025-11-14,2026-03-23,2026-03-20,9,9,DELIVERED
GR-PO-000233,41,Aggeneys Pump Solutions (Pty) Ltd,2025-08-29,2026-01-05,2026-01-03,3,3,DELIVERED
GR-PO-000234,41,Lowveld Mining Equipment Traders (Pty) Ltd,2025-02-08,2025-06-17,2025-06-20,9,9,DELIVERED
GR-PO-000235,42,Lowveld Mining Equipment Traders (Pty) Ltd,2025-01-23,2025-03-15,2025-03-12,3,3,DELIVERED
GR-PO-000236,42,Drakensberg Spares & Components (Pty) Ltd,2025-04-29,2025-06-19,2025-07-11,10,10,DELIVERED
GR-PO-000237,42,Springbok Valve & Fittings (Pty) Ltd,2025-11-20,2026-01-10,2026-01-26,2,2,DELIVERED
GR-PO-000238,42,Orange River Industrial Supplies (Pty) Ltd,2026-05-27,2026-07-17,2026-07-29,16,16,DELIVERED
GR-PO-000239,42,Kuruman Spares & Components (Pty) Ltd,2024-09-07,2024-10-28,2024-10-30,3,3,DELIVERED
GR-PO-000240,42,Kalahari Bearing & Drive Co (Pty) Ltd,2025-04-08,2025-05-29,2025-06-13,4,4,DELIVERED
GR-PO-000241,42,Escarpment Electromechanical Ltd (Pty) Ltd,2025-09-30,2025-11-20,2025-11-20,20,20,DELIVERED
GR-PO-000242,42,Kuruman Pump Solutions (Pty) Ltd,2026-06-30,2026-08-20,2026-08-26,2,2,DELIVERED
GR-PO-000243,43,Springbok Seals & Sealing Systems (Pty) Ltd,2025-07-22,2025-10-21,2025-10-24,6,6,DELIVERED
GR-PO-000244,43,Upington Valve & Fittings (Pty) Ltd,2026-06-23,2026-09-22,2026-09-03,16,16,DELIVERED
GR-PO-000245,43,Highveld Mining Equipment Traders (Pty) Ltd,2025-01-20,2025-04-21,2025-05-05,20,20,DELIVERED
GR-PO-000246,43,Namaqua Seals & Sealing Systems (Pty) Ltd,2026-05-30,2026-08-29,2026-08-15,5,5,DELIVERED
GR-PO-000247,43,Kalahari Bearing & Drive Co (Pty) Ltd,2025-10-21,2026-01-20,2026-01-05,3,3,DELIVERED
GR-PO-000248,44,Escarpment Electromechanical Ltd (Pty) Ltd,2026-06-03,2026-10-23,2026-10-06,17,17,DELIVERED
GR-PO-000249,44,Bushveld Spares & Components (Pty) Ltd,2024-12-10,2025-05-01,2025-05-14,13,13,DELIVERED
GR-PO-000250,44,Waterberg Bearing & Drive Co (Pty) Ltd,2025-03-12,2025-08-01,2025-07-27,13,13,DELIVERED
GR-PO-000251,44,Springbok Bearing & Drive Co (Pty) Ltd,2025-05-14,2025-10-03,2025-11-11,20,20,DELIVERED
GR-PO-000252,44,Bushveld Spares & Components (Pty) Ltd,2025-02-10,2025-07-02,2025-07-10,14,14,DELIVERED
GR-PO-000253,44,Orange River Bearing & Drive Co (Pty) Ltd,2024-10-12,2025-03-03,2025-03-08,13,13,DELIVERED
GR-PO-000254,44,Escarpment Seals & Sealing Systems (Pty) Ltd,2025-11-21,2026-04-12,2026-04-26,7,7,DELIVERED
GR-PO-000255,44,Springbok Bearing & Drive Co (Pty) Ltd,2026-01-22,2026-06-13,2026-07-13,9,9,DELIVERED
GR-PO-000256,45,Lowveld Electromechanical Ltd (Pty) Ltd,2026-07-11,2026-09-06,2026-09-02,13,13,DELIVERED
GR-PO-000257,45,Orange River Industrial Distributors (Pty) Ltd,2025-12-03,2026-01-29,2026-01-30,13,13,DELIVERED
GR-PO-000258,45,Orange River Industrial Supplies (Pty) Ltd,2026-01-07,2026-03-05,2026-03-14,10,10,DELIVERED
GR-PO-000259,45,Lowveld Electromechanical Ltd (Pty) Ltd,2026-01-29,2026-03-27,2026-03-31,10,10,DELIVERED
GR-PO-000260,45,Postmasburg Valve & Fittings (Pty) Ltd,2025-01-20,2025-03-18,2025-03-07,17,17,DELIVERED
GR-PO-000261,45,Highveld Industrial Supplies (Pty) Ltd,2025-06-24,2025-08-20,2025-08-17,2,2,DELIVERED
GR-PO-000262,45,Kuruman Spares & Components (Pty) Ltd,2025-10-06,2025-12-02,2025-11-24,16,16,DELIVERED
GR-PO-000263,46,Springbok Bearing & Drive Co (Pty) Ltd,2024-11-15,2025-02-16,2025-02-02,19,19,DELIVERED
GR-PO-000264,46,Kalahari Bearing & Drive Co (Pty) Ltd,2025-09-18,2025-12-20,2025-12-16,13,13,DELIVERED
GR-PO-000265,46,Upington Mining Equipment Traders (Pty) Ltd,2025-11-06,2026-02-07,2026-01-28,9,9,DELIVERED
GR-PO-000266,46,Kalahari Bearing & Drive Co (Pty) Ltd,2025-05-04,2025-08-05,2025-07-19,18,18,DELIVERED
GR-PO-000267,46,Escarpment Mining Equipment Traders (Pty) Ltd,2024-12-07,2025-03-10,2025-02-21,19,19,DELIVERED
GR-PO-000268,46,Escarpment Valve & Fittings (Pty) Ltd,2025-07-03,2025-10-04,2025-09-29,2,2,DELIVERED
GR-PO-000269,47,Escarpment Valve & Fittings (Pty) Ltd,2025-11-24,2026-04-04,2026-03-28,14,14,DELIVERED
GR-PO-000270,47,Orange River Industrial Distributors (Pty) Ltd,2025-04-14,2025-08-23,2025-07-27,3,3,DELIVERED
GR-PO-000271,47,Kuruman Spares & Components (Pty) Ltd,2025-08-04,2025-12-13,2026-01-16,9,9,DELIVERED
GR-PO-000272,47,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-01-20,2025-05-31,2025-05-11,13,13,DELIVERED
GR-PO-000273,48,Waterberg Bearing & Drive Co (Pty) Ltd,2026-06-16,2026-09-27,2026-09-18,2,2,DELIVERED
GR-PO-000274,48,Lowveld Electromechanical Ltd (Pty) Ltd,2026-04-11,2026-07-23,2026-07-25,10,10,DELIVERED
GR-PO-000275,48,Orange River Electromechanical Ltd (Pty) Ltd,2025-11-24,2026-03-07,2026-02-18,15,15,DELIVERED
GR-PO-000276,48,Springbok Valve & Fittings (Pty) Ltd,2025-08-13,2025-11-24,2025-11-04,13,13,DELIVERED
GR-PO-000277,49,Upington Valve & Fittings (Pty) Ltd,2025-07-31,2025-11-06,2025-10-24,8,8,DELIVERED
GR-PO-000278,49,Highveld Mining Equipment Traders (Pty) Ltd,2026-03-04,2026-06-10,2026-05-20,13,13,DELIVERED
GR-PO-000279,49,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-08-03,2025-11-09,2025-11-04,17,17,DELIVERED
GR-PO-000280,49,Karoo Industrial Distributors (Pty) Ltd,2024-10-30,2025-02-05,2025-01-31,10,10,DELIVERED
GR-PO-000281,49,Upington Valve & Fittings (Pty) Ltd,2024-10-08,2025-01-14,2025-01-21,7,7,DELIVERED
GR-PO-000282,50,Bushveld Spares & Components (Pty) Ltd,2025-09-24,2026-01-01,2025-12-27,8,8,DELIVERED
GR-PO-000283,50,Kuruman Pump Solutions (Pty) Ltd,2026-04-09,2026-07-17,2026-07-15,20,20,DELIVERED
GR-PO-000284,50,Postmasburg Valve & Fittings (Pty) Ltd,2026-01-11,2026-04-20,2026-04-20,11,11,DELIVERED
GR-PO-000285,50,Orange River Engineering Supplies (Pty) Ltd,2024-11-28,2025-03-07,2025-02-27,9,9,DELIVERED
GR-PO-000286,50,Lowveld Electromechanical Ltd (Pty) Ltd,2025-02-06,2025-05-16,2025-05-09,14,14,DELIVERED
GR-PO-000287,50,Lowveld Valve & Fittings (Pty) Ltd,2025-05-04,2025-08-11,2025-07-20,2,2,DELIVERED
GR-PO-000288,50,Waterberg Bearing & Drive Co (Pty) Ltd,2025-12-11,2026-03-20,2026-03-07,8,8,DELIVERED
GR-PO-000289,50,Namaqua Seals & Sealing Systems (Pty) Ltd,2026-02-01,2026-05-11,2026-04-30,8,8,DELIVERED
GR-PO-000290,51,Highveld Industrial Supplies (Pty) Ltd,2025-05-21,2025-08-02,2025-07-26,2,2,DELIVERED
GR-PO-000291,51,Escarpment Valve & Fittings (Pty) Ltd,2026-03-02,2026-05-14,2026-05-29,2,2,DELIVERED
GR-PO-000292,51,Escarpment Valve & Fittings (Pty) Ltd,2024-12-08,2025-02-19,2025-02-21,4,4,DELIVERED
GR-PO-000293,51,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-11-16,2026-01-28,2026-01-19,12,12,DELIVERED
GR-PO-000294,52,Escarpment Electromechanical Ltd (Pty) Ltd,2025-09-14,2026-02-03,2026-02-23,3,3,DELIVERED
GR-PO-000295,52,Upington Mining Equipment Traders (Pty) Ltd,2026-06-07,2026-10-27,2026-10-15,7,7,DELIVERED
GR-PO-000296,52,Kuruman Pump Solutions (Pty) Ltd,2025-01-30,2025-06-21,2025-06-05,14,14,DELIVERED
GR-PO-000297,52,Kimberley Pump Solutions (Pty) Ltd,2025-02-05,2025-06-27,2025-06-15,12,12,DELIVERED
GR-PO-000298,52,Escarpment Mining Equipment Traders (Pty) Ltd,2024-10-07,2025-02-26,2025-03-15,8,8,DELIVERED
GR-PO-000299,52,Escarpment Seals & Sealing Systems (Pty) Ltd,2025-01-16,2025-06-07,2025-06-08,11,11,DELIVERED
GR-PO-000300,52,Orange River Bearing & Drive Co (Pty) Ltd,2025-03-10,2025-07-30,2025-08-13,1,1,DELIVERED
GR-PO-000301,52,Escarpment Valve & Fittings (Pty) Ltd,2024-10-24,2025-03-15,2025-04-11,18,18,DELIVERED
GR-PO-000302,53,Orange River Bearing & Drive Co (Pty) Ltd,2026-07-27,2026-10-31,2026-10-14,9,9,DELIVERED
GR-PO-000303,53,Karoo Industrial Distributors (Pty) Ltd,2026-03-25,2026-06-29,2026-07-09,5,5,DELIVERED
GR-PO-000304,53,Bushveld Pump Solutions (Pty) Ltd,2026-05-01,2026-08-05,2026-08-07,18,18,DELIVERED
GR-PO-000305,53,Lowveld Valve & Fittings (Pty) Ltd,2025-08-04,2025-11-08,2025-11-16,16,16,DELIVERED
GR-PO-000306,53,Kuruman Spares & Components (Pty) Ltd,2025-12-16,2026-03-22,2026-03-08,6,6,DELIVERED
GR-PO-000307,54,Copperton Engineering Supplies (Pty) Ltd,2024-11-06,2025-01-06,2025-01-10,4,4,DELIVERED
GR-PO-000308,54,Bushveld Engineering Supplies (Pty) Ltd,2025-07-23,2025-09-22,2025-09-16,5,5,DELIVERED
GR-PO-000309,54,Lowveld Valve & Fittings (Pty) Ltd,2025-06-10,2025-08-10,2025-07-27,3,3,DELIVERED
GR-PO-000310,54,Escarpment Mining Equipment Traders (Pty) Ltd,2025-03-19,2025-05-19,2025-05-28,5,5,DELIVERED
GR-PO-000311,54,Bushveld Pump Solutions (Pty) Ltd,2026-07-20,2026-09-19,2026-09-19,10,10,DELIVERED
GR-PO-000312,54,Highveld Industrial Supplies (Pty) Ltd,2025-05-20,2025-07-20,2025-07-23,9,9,DELIVERED
GR-PO-000313,54,Namaqua Seals & Sealing Systems (Pty) Ltd,2026-05-02,2026-07-02,2026-06-29,19,19,DELIVERED
GR-PO-000314,54,Postmasburg Valve & Fittings (Pty) Ltd,2024-08-26,2024-10-26,2024-11-06,17,17,DELIVERED
GR-PO-000315,55,Kuruman Spares & Components (Pty) Ltd,2026-01-18,2026-04-03,2026-03-30,12,12,DELIVERED
GR-PO-000316,55,Orange River Electromechanical Ltd (Pty) Ltd,2026-04-07,2026-06-21,2026-06-24,9,9,DELIVERED
GR-PO-000317,55,Northern Cape Engineering Supplies (Pty) Ltd,2025-07-23,2025-10-06,2025-10-16,20,20,DELIVERED
GR-PO-000318,55,Kuruman Industrial Supplies (Pty) Ltd,2026-05-09,2026-07-23,2026-08-07,19,19,DELIVERED
GR-PO-000319,55,Orange River Engineering Supplies (Pty) Ltd,2025-07-14,2025-09-27,2025-10-17,2,2,DELIVERED
GR-PO-000320,55,Springbok Valve & Fittings (Pty) Ltd,2025-01-28,2025-04-13,2025-03-29,17,17,DELIVERED
GR-PO-000321,56,Bushveld Spares & Components (Pty) Ltd,2024-09-18,2024-11-10,2024-11-18,19,19,DELIVERED
GR-PO-000322,56,Orange River Engineering Supplies (Pty) Ltd,2025-06-15,2025-08-07,2025-08-08,14,14,DELIVERED
GR-PO-000323,56,Upington Valve & Fittings (Pty) Ltd,2024-11-27,2025-01-19,2025-01-04,2,2,DELIVERED
GR-PO-000324,56,Aggeneys Pump Solutions (Pty) Ltd,2026-02-23,2026-04-17,2026-04-04,14,14,DELIVERED
GR-PO-000325,56,Orange River Electromechanical Ltd (Pty) Ltd,2025-05-31,2025-07-23,2025-07-21,3,3,DELIVERED
GR-PO-000326,56,Orange River Bearing & Drive Co (Pty) Ltd,2026-01-31,2026-03-25,2026-03-27,7,7,DELIVERED
GR-PO-000327,56,Escarpment Valve & Fittings (Pty) Ltd,2025-03-01,2025-04-23,2025-05-09,6,6,DELIVERED
GR-PO-000328,56,Bushveld Spares & Components (Pty) Ltd,2025-05-14,2025-07-06,2025-07-08,3,3,DELIVERED
GR-PO-000329,57,Escarpment Mining Equipment Traders (Pty) Ltd,2024-08-26,2024-12-29,2025-01-15,14,14,DELIVERED
GR-PO-000330,57,Postmasburg Valve & Fittings (Pty) Ltd,2026-05-13,2026-09-15,2026-08-22,15,15,DELIVERED
GR-PO-000331,57,Bushveld Spares & Components (Pty) Ltd,2026-03-29,2026-08-01,2026-09-07,19,19,DELIVERED
GR-PO-000332,57,Kimberley Pump Solutions (Pty) Ltd,2025-09-30,2026-02-02,2026-02-14,20,20,DELIVERED
GR-PO-000333,57,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-07-15,2025-11-17,2025-10-12,5,5,DELIVERED
GR-PO-000334,58,Upington Mining Equipment Traders (Pty) Ltd,2026-05-25,2026-07-26,2026-07-12,1,1,DELIVERED
GR-PO-000335,58,Vaal Valve & Fittings (Pty) Ltd,2025-02-27,2025-04-30,2025-05-13,9,9,DELIVERED
GR-PO-000336,58,Bushveld Pump Solutions (Pty) Ltd,2024-12-15,2025-02-15,2025-03-16,12,12,DELIVERED
GR-PO-000337,58,Lowveld Valve & Fittings (Pty) Ltd,2024-11-19,2025-01-20,2025-01-22,15,15,DELIVERED
GR-PO-000338,58,Springbok Bearing & Drive Co (Pty) Ltd,2025-12-14,2026-02-14,2026-02-26,3,3,DELIVERED
GR-PO-000339,58,Copperton Engineering Supplies (Pty) Ltd,2025-04-08,2025-06-09,2025-06-07,9,9,DELIVERED
GR-PO-000340,58,Kuruman Pump Solutions (Pty) Ltd,2025-10-24,2025-12-25,2025-12-29,18,18,DELIVERED
GR-PO-000341,59,Northern Cape Industrial Distributors (Pty) Ltd,2026-06-18,2026-10-24,2026-10-19,1,1,DELIVERED
GR-PO-000342,59,Springbok Industrial Supplies (Pty) Ltd,2025-04-16,2025-08-22,2025-09-25,10,10,DELIVERED
GR-PO-000343,59,Kimberley Pump Solutions (Pty) Ltd,2024-10-11,2025-02-16,2025-01-23,19,19,DELIVERED
GR-PO-000344,59,Escarpment Valve & Fittings (Pty) Ltd,2026-02-20,2026-06-28,2026-07-11,10,10,DELIVERED
GR-PO-000345,59,Northern Cape Engineering Supplies (Pty) Ltd,2025-10-21,2026-02-26,2026-02-18,14,14,DELIVERED
GR-PO-000346,59,Bushveld Engineering Supplies (Pty) Ltd,2025-09-11,2026-01-17,2026-01-29,4,4,DELIVERED
GR-PO-000347,59,Orange River Engineering Supplies (Pty) Ltd,2025-02-25,2025-07-03,2025-07-25,20,20,DELIVERED
GR-PO-000348,60,Postmasburg Valve & Fittings (Pty) Ltd,2026-06-27,2026-09-04,2026-08-24,8,8,DELIVERED
GR-PO-000349,60,Escarpment Seals & Sealing Systems (Pty) Ltd,2025-06-05,2025-08-13,2025-07-13,18,18,DELIVERED
GR-PO-000350,60,Bushveld Spares & Components (Pty) Ltd,2024-12-05,2025-02-12,2025-02-23,10,10,DELIVERED
GR-PO-000351,60,Lowveld Mining Equipment Traders (Pty) Ltd,2025-04-29,2025-07-07,2025-07-11,5,5,DELIVERED
GR-PO-000352,61,Aggeneys Pump Solutions (Pty) Ltd,2026-03-24,2026-06-15,2026-06-20,12,12,DELIVERED
GR-PO-000353,61,Kuruman Industrial Supplies (Pty) Ltd,2025-06-27,2025-09-18,2025-10-19,2,2,DELIVERED
GR-PO-000354,61,Waterberg Bearing & Drive Co (Pty) Ltd,2025-05-19,2025-08-10,2025-07-26,1,1,DELIVERED
GR-PO-000355,61,Lowveld Valve & Fittings (Pty) Ltd,2025-06-06,2025-08-28,2025-08-19,6,6,DELIVERED
GR-PO-000356,61,Springbok Industrial Supplies (Pty) Ltd,2026-03-09,2026-05-31,2026-06-15,14,14,DELIVERED
GR-PO-000357,61,Highveld Mining Equipment Traders (Pty) Ltd,2026-04-17,2026-07-09,2026-06-30,16,16,DELIVERED
GR-PO-000358,62,Kimberley Pump Solutions (Pty) Ltd,2026-03-30,2026-08-09,2026-08-03,11,11,DELIVERED
GR-PO-000359,62,Northern Cape Industrial Distributors (Pty) Ltd,2024-11-11,2025-03-23,2025-03-03,16,16,DELIVERED
GR-PO-000360,62,Aggeneys Pump Solutions (Pty) Ltd,2025-10-18,2026-02-27,2026-02-10,9,9,DELIVERED
GR-PO-000361,62,Lowveld Electromechanical Ltd (Pty) Ltd,2026-04-07,2026-08-17,2026-08-30,5,5,DELIVERED
GR-PO-000362,62,Orange River Industrial Supplies (Pty) Ltd,2024-10-24,2025-03-05,2025-03-29,2,2,DELIVERED
GR-PO-000363,62,Orange River Electromechanical Ltd (Pty) Ltd,2026-04-10,2026-08-20,2026-08-10,10,10,DELIVERED
GR-PO-000364,62,Vaal Valve & Fittings (Pty) Ltd,2026-04-15,2026-08-25,2026-07-28,1,1,DELIVERED
GR-PO-000365,63,Highveld Mining Equipment Traders (Pty) Ltd,2024-11-04,2025-02-23,2025-02-04,16,16,DELIVERED
GR-PO-000366,63,Lowveld Mining Equipment Traders (Pty) Ltd,2025-12-14,2026-04-04,2026-03-25,18,18,DELIVERED
GR-PO-000367,63,Copperton Engineering Supplies (Pty) Ltd,2026-07-21,2026-11-09,2026-10-25,4,4,DELIVERED
GR-PO-000368,63,Kimberley Pump Solutions (Pty) Ltd,2026-03-30,2026-07-19,2026-07-17,16,16,DELIVERED
GR-PO-000369,63,Upington Mining Equipment Traders (Pty) Ltd,2025-05-19,2025-09-07,2025-08-31,16,16,DELIVERED
GR-PO-000370,63,Escarpment Electromechanical Ltd (Pty) Ltd,2024-08-29,2024-12-18,2025-01-02,10,10,DELIVERED
GR-PO-000371,63,Escarpment Electromechanical Ltd (Pty) Ltd,2025-09-25,2026-01-14,2026-01-07,11,11,DELIVERED
GR-PO-000372,64,Upington Mining Equipment Traders (Pty) Ltd,2024-10-06,2024-12-04,2024-11-23,20,20,DELIVERED
GR-PO-000373,64,Orange River Engineering Supplies (Pty) Ltd,2026-07-12,2026-09-09,2026-09-06,7,7,DELIVERED
GR-PO-000374,64,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-08-27,2025-10-25,2025-10-17,6,6,DELIVERED
GR-PO-000375,64,Bushveld Spares & Components (Pty) Ltd,2025-06-22,2025-08-20,2025-08-24,17,17,DELIVERED
GR-PO-000376,65,Lowveld Electromechanical Ltd (Pty) Ltd,2025-03-01,2025-06-05,2025-05-30,2,2,DELIVERED
GR-PO-000377,65,Lowveld Valve & Fittings (Pty) Ltd,2025-12-27,2026-04-02,2026-03-21,1,1,DELIVERED
GR-PO-000378,65,Springbok Bearing & Drive Co (Pty) Ltd,2025-02-14,2025-05-21,2025-05-29,15,15,DELIVERED
GR-PO-000379,65,Springbok Seals & Sealing Systems (Pty) Ltd,2025-09-01,2025-12-06,2025-11-17,4,4,DELIVERED
GR-PO-000380,65,Orange River Industrial Distributors (Pty) Ltd,2025-07-18,2025-10-22,2025-10-22,3,3,DELIVERED
GR-PO-000381,66,Bushveld Pump Solutions (Pty) Ltd,2025-03-30,2025-05-21,2025-05-14,1,1,DELIVERED
GR-PO-000382,66,Bushveld Spares & Components (Pty) Ltd,2024-12-02,2025-01-23,2025-01-25,10,10,DELIVERED
GR-PO-000383,66,Lowveld Mining Equipment Traders (Pty) Ltd,2026-04-11,2026-06-02,2026-06-04,3,3,DELIVERED
GR-PO-000384,66,Escarpment Electromechanical Ltd (Pty) Ltd,2025-06-11,2025-08-02,2025-08-06,10,10,DELIVERED
GR-PO-000385,66,Kimberley Pump Solutions (Pty) Ltd,2025-03-04,2025-04-25,2025-05-06,9,9,DELIVERED
GR-PO-000386,66,Vaal Valve & Fittings (Pty) Ltd,2026-01-29,2026-03-22,2026-03-16,18,18,DELIVERED
GR-PO-000387,66,Copperton Engineering Supplies (Pty) Ltd,2025-06-28,2025-08-19,2025-08-22,12,12,DELIVERED
GR-PO-000388,68,Vaal Mining Equipment Traders (Pty) Ltd,2025-12-13,2026-03-03,2026-02-20,5,5,DELIVERED
GR-PO-000389,68,Orange River Bearing & Drive Co (Pty) Ltd,2025-12-06,2026-02-24,2026-02-25,15,15,DELIVERED
GR-PO-000390,68,Escarpment Electromechanical Ltd (Pty) Ltd,2025-11-25,2026-02-13,2026-02-17,4,4,DELIVERED
GR-PO-000391,68,Escarpment Electromechanical Ltd (Pty) Ltd,2025-07-13,2025-10-01,2025-10-09,7,7,DELIVERED
GR-PO-000392,68,Bushveld Pump Solutions (Pty) Ltd,2025-03-27,2025-06-15,2025-06-18,6,6,DELIVERED
GR-PO-000393,68,Bushveld Spares & Components (Pty) Ltd,2025-12-02,2026-02-20,2026-02-03,12,12,DELIVERED
GR-PO-000394,68,Lowveld Mining Equipment Traders (Pty) Ltd,2025-09-13,2025-12-02,2025-12-19,14,14,DELIVERED
GR-PO-000395,68,Vaal Valve & Fittings (Pty) Ltd,2026-02-04,2026-04-25,2026-05-06,3,3,DELIVERED
GR-PO-000396,69,Vaal Valve & Fittings (Pty) Ltd,2024-08-31,2024-10-18,2024-10-14,13,13,DELIVERED
GR-PO-000397,69,Highveld Mining Equipment Traders (Pty) Ltd,2026-05-31,2026-07-18,2026-07-20,16,16,DELIVERED
GR-PO-000398,69,Vaal Valve & Fittings (Pty) Ltd,2025-07-31,2025-09-17,2025-09-05,19,19,DELIVERED
GR-PO-000399,69,Karoo Industrial Distributors (Pty) Ltd,2024-10-14,2024-12-01,2024-12-13,2,2,DELIVERED
GR-PO-000400,69,Escarpment Mining Equipment Traders (Pty) Ltd,2025-03-21,2025-05-08,2025-05-10,14,14,DELIVERED
GR-PO-000401,71,Vaal Mining Equipment Traders (Pty) Ltd,2026-03-31,2026-06-11,2026-06-16,8,8,DELIVERED
GR-PO-000402,71,Springbok Valve & Fittings (Pty) Ltd,2025-10-03,2025-12-14,2025-12-01,6,6,DELIVERED
GR-PO-000403,71,Karoo Industrial Distributors (Pty) Ltd,2025-12-18,2026-02-28,2026-02-15,6,6,DELIVERED
GR-PO-000404,71,Postmasburg Valve & Fittings (Pty) Ltd,2025-03-27,2025-06-07,2025-06-13,7,7,DELIVERED
GR-PO-000405,71,Kuruman Industrial Supplies (Pty) Ltd,2025-04-16,2025-06-27,2025-07-08,19,19,DELIVERED
GR-PO-000406,72,Bushveld Engineering Supplies (Pty) Ltd,2026-01-05,2026-04-23,2026-05-10,13,13,DELIVERED
GR-PO-000407,72,Northern Cape Industrial Distributors (Pty) Ltd,2026-03-05,2026-06-21,2026-06-24,12,12,DELIVERED
GR-PO-000408,72,Orange River Industrial Distributors (Pty) Ltd,2025-04-06,2025-07-23,2025-08-14,12,12,DELIVERED
GR-PO-000409,72,Drakensberg Spares & Components (Pty) Ltd,2025-07-29,2025-11-14,2025-11-01,18,18,DELIVERED
GR-PO-000410,72,Kuruman Industrial Supplies (Pty) Ltd,2026-03-02,2026-06-18,2026-06-15,9,9,DELIVERED
GR-PO-000411,72,Orange River Electromechanical Ltd (Pty) Ltd,2024-12-29,2025-04-16,2025-03-31,19,19,DELIVERED
GR-PO-000412,73,Lowveld Valve & Fittings (Pty) Ltd,2024-12-14,2025-02-08,2025-02-04,4,4,DELIVERED
GR-PO-000413,73,Orange River Electromechanical Ltd (Pty) Ltd,2025-12-10,2026-02-04,2026-01-31,4,4,DELIVERED
GR-PO-000414,73,Drakensberg Spares & Components (Pty) Ltd,2025-08-25,2025-10-20,2025-11-07,20,20,DELIVERED
GR-PO-000415,73,Kuruman Spares & Components (Pty) Ltd,2025-11-28,2026-01-23,2026-01-24,4,4,DELIVERED
GR-PO-000416,73,Kuruman Industrial Supplies (Pty) Ltd,2025-03-13,2025-05-08,2025-05-07,15,15,DELIVERED
GR-PO-000417,73,Bushveld Pump Solutions (Pty) Ltd,2025-02-08,2025-04-05,2025-04-10,8,8,DELIVERED
GR-PO-000418,74,Escarpment Mining Equipment Traders (Pty) Ltd,2025-08-09,2025-12-16,2025-12-18,3,3,DELIVERED
GR-PO-000419,74,Kimberley Pump Solutions (Pty) Ltd,2025-01-15,2025-05-24,2025-05-15,3,3,DELIVERED
GR-PO-000420,74,Orange River Bearing & Drive Co (Pty) Ltd,2026-07-15,2026-11-21,2026-11-30,11,11,DELIVERED
