Matnr,Lvorm,Mtart,Matkl,Bismt,Meins,Mstae,Extwg,Sernp
000000000010000283,false,HIBE,MECH-SEAL,ELL682662,EA,,,
000000000030000065,false,ERSA,MECH-BRG,,EA,,100,
000000000010000284,false,ERSA,MECH-PUMP,ELL133459,EA,,400,
000000000010000285,false,ERSA,MECH-BRG,,EA,,400,
000000000080000067,false,ERSA,CONV-COMP,,EA,,200,
000000000010000286,false,ERSA,ELEC-CTRL,,EA,,,
000000000080000068,false,HIBE,MECH-PUMP,,EA,,200,
000000000080000069,false,ERSA,MECH-PUMP,,EA,,300,
000000000090000015,false,ERSA,INST-XMTR,,EA,01,300,
000000000010000287,false,ERSA,MILL-LINR,,EA,,300,
000000000080000070,false,ERSA,HYDR-ASSY,ELL965842,EA,,,0001
000000000010000288,false,ERSA,INST-XMTR,,EA,,300,
000000000010000289,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000290,false,HIBE,MILL-LINR,,EA,,,
000000000010000291,false,ERSA,MECH-GBOX,,EA,,300,
000000000010000292,false,HIBE,MILL-LINR,ELL677028,EA,,200,
000000000080000071,false,ERSA,ELEC-CTRL,ELL783134,EA,,400,
000000000080000072,false,HIBE,HYDR-ASSY,,EA,,400,
000000000010000293,false,ERSA,MECH-BRG,,EA,,400,
000000000080000073,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000294,false,ERSA,CONV-COMP,ELL732823,EA,,,
000000000010000295,false,ERSA,INST-XMTR,ELL676659,EA,,300,
000000000010000296,false,ERSA,INST-XMTR,,EA,,300,
000000000030000066,false,ERSA,MILL-LINR,,EA,,100,
000000000010000297,false,ERSA,MECH-BRG,,EA,,200,
000000000010000298,false,HIBE,CONV-COMP,ELL725667,EA,,400,
000000000010000299,false,ERSA,ELEC-CTRL,ELL991930,EA,,400,
000000000010000300,false,HIBE,INST-XMTR,,EA,,,
000000000010000301,false,ERSA,MECH-BRG,,EA,,200,
000000000010000302,false,HIBE,ELEC-MOTR,ELL800609,EA,,200,
000000000080000074,false,ERSA,MECH-GBOX,,EA,,300,Z00R
000000000010000303,false,ERSA,MECH-GBOX,,EA,,300,
000000000080000075,false,HIBE,CONV-COMP,,EA,,,
000000000010000304,false,ERSA,MECH-GBOX,,EA,,,
000000000090000016,false,ERSA,ELEC-CTRL,,EA,01,300,
000000000090000017,false,ERSA,MECH-GBOX,,EA,01,200,
000000000010000305,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000306,false,ERSA,ELEC-MOTR,ELL289051,EA,,300,
000000000010000307,false,ERSA,MECH-BRG,,EA,,,
000000000080000076,false,HIBE,MECH-BRG,ELL857079,EA,,300,
000000000030000067,false,ERSA,MILL-LINR,,EA,,100,
000000000010000308,false,ERSA,MECH-SEAL,,EA,,300,
000000000030000068,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000309,false,ERSA,ELEC-MOTR,ELL686011,EA,,,
000000000080000077,false,ERSA,MILL-LINR,ELL581927,EA,,200,
000000000010000310,false,ERSA,MECH-BRG,,EA,,,
000000000080000078,false,ERSA,CONV-COMP,,EA,,400,
000000000010000311,false,ERSA,MECH-SEAL,,EA,,300,
000000000030000069,false,ERSA,MECH-PUMP,,EA,,100,
000000000030000070,false,ERSA,CONV-COMP,,EA,,100,
000000000010000312,false,ERSA,ELEC-CTRL,,EA,,,
000000000010000313,false,HIBE,ELEC-MOTR,,EA,,200,
000000000010000314,false,ERSA,INST-XMTR,ELL936896,EA,,400,
000000000080000079,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000315,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000316,false,ERSA,MECH-GBOX,,EA,,,
000000000010000317,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000318,false,ERSA,MECH-SEAL,,EA,,,
000000000010000319,false,HIBE,HYDR-ASSY,,EA,,,
000000000010000320,false,ERSA,CONV-COMP,ELL607633,EA,,,
000000000080000080,false,ERSA,MILL-LINR,,EA,,300,
000000000010000321,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000322,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000323,false,ERSA,MECH-SEAL,ELL897171,EA,,300,
000000000010000324,false,ERSA,CONV-COMP,ELL192195,EA,,400,
000000000080000081,false,ERSA,MECH-SEAL,,EA,,,0001
000000000030000071,false,ERSA,ELEC-MOTR,ELL659877,EA,,100,
000000000010000325,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000326,false,ERSA,MECH-BRG,ELL415216,EA,,,
000000000030000072,false,ERSA,ELEC-MOTR,,EA,,100,
000000000010000327,false,ERSA,INST-XMTR,,EA,,,
000000000030000073,false,HIBE,MILL-LINR,,EA,,100,
000000000010000328,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000329,false,ERSA,HYDR-ASSY,ELL397853,EA,,300,
000000000010000330,false,ERSA,MECH-GBOX,ELL619180,EA,,,
000000000010000331,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000332,false,ERSA,MECH-SEAL,,EA,,,
000000000030000074,false,ERSA,ELEC-CTRL,,EA,,100,
000000000010000333,false,ERSA,ELEC-MOTR,ELL394543,EA,,,
000000000080000082,false,ERSA,MECH-SEAL,,EA,,400,
000000000030000075,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000334,false,ERSA,ELEC-MOTR,ELL829400,EA,,200,
000000000010000335,false,HIBE,MILL-LINR,,EA,,,
000000000010000336,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000337,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000338,false,ERSA,MECH-PUMP,,EA,,,
000000000010000339,false,ERSA,MECH-PUMP,,EA,,300,
000000000030000076,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000340,false,ERSA,MECH-PUMP,,EA,,400,
000000000090000018,false,ERSA,MECH-BRG,,EA,01,,
000000000010000341,false,HIBE,ELEC-CTRL,ELL297517,EA,,,
000000000030000077,false,ERSA,MECH-SEAL,ELL619928,EA,,100,
000000000010000342,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000343,false,HIBE,INST-XMTR,,EA,,400,
000000000090000019,false,ERSA,MECH-BRG,,EA,01,,
000000000010000344,false,ERSA,MILL-LINR,,EA,,200,
000000000010000345,false,ERSA,MECH-PUMP,,EA,,200,
000000000030000078,false,HIBE,HYDR-ASSY,,EA,,100,
000000000080000083,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000346,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000347,false,ERSA,INST-XMTR,,EA,,,
000000000010000348,false,ERSA,MECH-SEAL,,EA,,200,
000000000030000079,false,ERSA,CONV-COMP,ELL492047,EA,,100,
000000000010000349,false,ERSA,ELEC-CTRL,,EA,,,
000000000010000350,false,ERSA,ELEC-MOTR,,EA,,300,
000000000030000080,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000351,false,ERSA,HYDR-ASSY,,EA,,200,
000000000090000020,false,ERSA,MECH-PUMP,,EA,01,400,
000000000010000352,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000353,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000354,false,ERSA,MECH-SEAL,ELL629063,EA,,,
000000000010000355,false,ERSA,MILL-LINR,ELL196009,EA,,300,
000000000010000356,false,ERSA,INST-XMTR,ELL959189,EA,,300,
000000000010000357,false,ERSA,CONV-COMP,,EA,,,
000000000010000358,false,ERSA,MECH-GBOX,,EA,,300,
000000000080000084,false,HIBE,MECH-PUMP,,EA,,,
000000000010000359,false,ERSA,INST-XMTR,,EA,,200,
000000000010000360,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000361,false,ERSA,ELEC-MOTR,ELL856665,EA,,,
000000000010000362,false,ERSA,INST-XMTR,,EA,,,
000000000010000363,false,ERSA,INST-XMTR,ELL945640,EA,,200,
000000000010000364,false,ERSA,INST-XMTR,,EA,,200,
000000000010000365,false,ERSA,MILL-LINR,,EA,,200,
000000000010000366,false,HIBE,CONV-COMP,ELL324213,EA,,200,
000000000080000085,false,ERSA,ELEC-MOTR,ELL556475,EA,,400,
000000000010000367,false,HIBE,INST-XMTR,,EA,,300,
000000000030000081,false,HIBE,HYDR-ASSY,,EA,,100,
000000000010000368,false,ERSA,ELEC-CTRL,,EA,,,
000000000010000369,false,ERSA,MECH-BRG,ELL570774,EA,,400,
000000000010000370,false,ERSA,MECH-PUMP,ELL926309,EA,,300,
000000000030000082,false,HIBE,INST-XMTR,,EA,,100,
000000000080000086,false,ERSA,CONV-COMP,,EA,,,
000000000010000371,false,ERSA,ELEC-MOTR,ELL418491,EA,,200,
000000000080000087,false,ERSA,MECH-PUMP,,EA,,300,0001
000000000010000372,false,ERSA,ELEC-MOTR,,EA,,300,
000000000010000373,false,ERSA,CONV-COMP,,EA,,200,
000000000080000088,false,ERSA,HYDR-ASSY,ELL456570,EA,,400,
000000000010000374,false,ERSA,CONV-COMP,ELL913231,EA,,400,
000000000010000375,false,ERSA,INST-XMTR,ELL714715,EA,,,
000000000030000083,false,ERSA,MILL-LINR,,EA,,100,
000000000010000376,false,ERSA,INST-XMTR,,EA,,,
000000000010000377,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000378,false,ERSA,MECH-BRG,,EA,,300,
000000000010000379,false,ERSA,INST-XMTR,ELL756758,EA,,400,
000000000010000380,false,ERSA,MILL-LINR,,EA,,200,
000000000010000381,false,ERSA,MECH-GBOX,,EA,,400,
000000000030000084,false,ERSA,CONV-COMP,,EA,,100,
000000000010000382,false,ERSA,INST-XMTR,,EA,,,
000000000010000383,false,ERSA,INST-XMTR,,EA,,200,
000000000010000384,false,ERSA,MECH-GBOX,,EA,,300,
000000000030000085,false,ERSA,MECH-PUMP,,EA,,100,
000000000080000089,false,ERSA,INST-XMTR,,EA,,300,
000000000080000090,false,ERSA,MECH-PUMP,,EA,,300,
000000000010000385,false,HIBE,MECH-BRG,ELL676464,EA,,,
000000000030000086,false,HIBE,MECH-PUMP,,EA,,100,
000000000030000087,false,ERSA,INST-XMTR,,EA,,100,
000000000010000386,false,ERSA,MILL-LINR,,EA,,200,
000000000010000387,false,ERSA,ELEC-CTRL,ELL373636,EA,,,
000000000090000021,false,ERSA,ELEC-CTRL,,EA,01,300,
000000000080000091,false,ERSA,MILL-LINR,,EA,,400,
000000000010000388,false,ERSA,MECH-GBOX,,EA,,,
000000000010000389,false,ERSA,INST-XMTR,,EA,,400,
000000000010000390,false,HIBE,MECH-GBOX,,EA,,400,
000000000080000092,false,ERSA,INST-XMTR,,EA,,200,
000000000030000088,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000391,false,ERSA,MILL-LINR,,EA,,300,
000000000010000392,false,ERSA,CONV-COMP,,EA,,300,
000000000010000393,false,ERSA,CONV-COMP,,EA,,,
000000000010000394,false,ERSA,MILL-LINR,,EA,,200,
000000000010000395,false,ERSA,MECH-PUMP,ELL112569,EA,,400,
000000000030000089,false,ERSA,MILL-LINR,,EA,,100,
000000000010000396,false,ERSA,MECH-PUMP,,EA,,200,
000000000090000022,false,ERSA,MILL-LINR,,EA,01,400,
000000000030000090,false,ERSA,MECH-BRG,,EA,,100,
000000000010000397,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000398,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000399,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000400,false,ERSA,MILL-LINR,,EA,,400,
000000000010000401,false,HIBE,MECH-SEAL,,EA,,400,
000000000080000093,false,ERSA,MECH-PUMP,,EA,,,0001
000000000010000402,false,HIBE,MECH-SEAL,,EA,,300,
000000000010000403,false,ERSA,MECH-BRG,,EA,,200,
000000000010000404,false,ERSA,MECH-GBOX,,EA,,,
000000000080000094,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000405,false,ERSA,INST-XMTR,ELL758784,EA,,300,
000000000030000091,false,ERSA,MECH-GBOX,,EA,,100,
000000000010000406,false,ERSA,INST-XMTR,ELL385585,EA,,,
000000000030000092,false,ERSA,MECH-BRG,,EA,,100,
000000000010000407,false,ERSA,ELEC-CTRL,,EA,,300,
000000000030000093,false,ERSA,HYDR-ASSY,,EA,,100,
000000000080000095,false,ERSA,MILL-LINR,,EA,,,
000000000010000408,false,ERSA,MECH-BRG,,EA,,300,
000000000080000096,false,ERSA,MECH-BRG,ELL386947,EA,,300,
000000000010000409,false,ERSA,MECH-SEAL,,EA,,200,
000000000080000097,false,ERSA,ELEC-CTRL,ELL162911,EA,,,Z00R
000000000010000410,false,ERSA,INST-XMTR,,EA,,200,
000000000010000411,false,ERSA,MECH-GBOX,,EA,,400,
000000000030000094,false,ERSA,MECH-GBOX,ELL541270,EA,,100,
000000000080000098,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000412,false,ERSA,MECH-SEAL,ELL116505,EA,,300,
000000000010000413,false,ERSA,MECH-SEAL,,EA,,200,
000000000030000095,false,ERSA,ELEC-CTRL,,EA,,100,
000000000010000414,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000415,false,ERSA,INST-XMTR,,EA,,,
000000000010000416,false,ERSA,MECH-PUMP,,EA,,300,
000000000010000417,false,ERSA,CONV-COMP,ELL471159,EA,,400,
000000000080000099,false,ERSA,MILL-LINR,,EA,,300,
000000000010000418,false,ERSA,INST-XMTR,,EA,,400,
000000000010000419,false,HIBE,MILL-LINR,ELL357120,EA,,300,
000000000010000420,false,ERSA,ELEC-CTRL,ELL475629,EA,,200,
000000000010000421,false,ERSA,MILL-LINR,ELL934291,EA,,,
000000000010000422,false,ERSA,MECH-PUMP,,EA,,,
000000000010000423,false,ERSA,HYDR-ASSY,,EA,,200,
000000000080000100,false,ERSA,ELEC-MOTR,,EA,,300,
000000000010000424,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000425,false,ERSA,MILL-LINR,ELL990466,EA,,400,
000000000010000426,false,ERSA,HYDR-ASSY,ELL872591,EA,,200,
000000000010000427,false,ERSA,MECH-GBOX,,EA,,,
000000000010000428,false,HIBE,HYDR-ASSY,,EA,,200,
000000000010000429,false,HIBE,ELEC-MOTR,,EA,,300,
000000000030000096,false,ERSA,MECH-GBOX,,EA,,100,
000000000030000097,false,ERSA,MILL-LINR,,EA,,100,
000000000010000430,false,HIBE,ELEC-CTRL,,EA,,200,
000000000010000431,false,HIBE,MECH-GBOX,,EA,,300,
000000000010000432,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000433,false,ERSA,MECH-BRG,,EA,,300,
000000000010000434,false,ERSA,INST-XMTR,,EA,,400,
000000000010000435,false,ERSA,CONV-COMP,,EA,,200,
000000000010000436,false,ERSA,MILL-LINR,,EA,,200,
000000000010000437,false,ERSA,MECH-BRG,ELL255168,EA,,200,
000000000010000438,false,ERSA,MECH-GBOX,,EA,,,
000000000010000439,false,ERSA,INST-XMTR,,EA,,400,
000000000080000101,false,ERSA,MECH-BRG,,EA,,200,
000000000010000440,false,ERSA,MILL-LINR,,EA,,200,
000000000010000441,false,ERSA,MECH-PUMP,ELL316145,EA,,400,
000000000030000098,false,ERSA,MECH-BRG,,EA,,100,
000000000080000102,false,ERSA,CONV-COMP,,EA,,400,
000000000030000099,false,ERSA,MILL-LINR,ELL644519,EA,,100,
000000000030000100,false,HIBE,MECH-GBOX,ELL809369,EA,,100,
000000000080000103,false,ERSA,MILL-LINR,,EA,,200,
000000000010000442,false,ERSA,MECH-PUMP,,EA,,400,
000000000090000023,false,ERSA,MILL-LINR,,EA,01,400,
000000000030000101,false,ERSA,MILL-LINR,,EA,,100,
000000000080000104,false,ERSA,MECH-BRG,,EA,,200,0001
000000000010000443,false,ERSA,MECH-BRG,,EA,,300,
000000000030000102,false,ERSA,ELEC-CTRL,ELL763284,EA,,100,
000000000080000105,false,ERSA,MECH-BRG,,EA,,200,
000000000010000444,false,ERSA,HYDR-ASSY,,EA,,300,
000000000030000103,false,ERSA,CONV-COMP,,EA,,100,
000000000010000445,false,HIBE,ELEC-CTRL,,EA,,300,
000000000010000446,false,ERSA,MECH-PUMP,,EA,,300,
000000000010000447,false,ERSA,CONV-COMP,,EA,,400,
000000000010000448,false,ERSA,MECH-GBOX,ELL899847,EA,,400,
000000000010000449,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000450,false,ERSA,ELEC-CTRL,ELL864786,EA,,200,
000000000010000451,false,ERSA,ELEC-CTRL,,EA,,,
000000000080000106,false,ERSA,ELEC-CTRL,ELL917346,EA,,300,0001
000000000010000452,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000453,false,ERSA,MECH-BRG,,EA,,200,
000000000030000104,false,ERSA,ELEC-MOTR,,EA,,100,
000000000010000454,false,ERSA,MECH-PUMP,ELL707701,EA,,,
000000000010000455,false,ERSA,MECH-SEAL,,EA,,300,
000000000030000105,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000456,false,ERSA,ELEC-MOTR,ELL736587,EA,,300,
000000000010000457,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000458,false,ERSA,MECH-GBOX,,EA,,200,
000000000090000024,false,ERSA,ELEC-CTRL,ELL877711,EA,01,,
000000000010000459,false,ERSA,MECH-SEAL,ELL945346,EA,,400,
000000000010000460,false,ERSA,INST-XMTR,,EA,,400,
000000000010000461,false,ERSA,MECH-SEAL,ELL835805,EA,,400,
000000000010000462,false,ERSA,MECH-PUMP,ELL270218,EA,,200,
000000000010000463,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000464,false,ERSA,CONV-COMP,,EA,,,
000000000010000465,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000466,false,ERSA,CONV-COMP,ELL255805,EA,,200,
000000000010000467,false,ERSA,MECH-GBOX,,EA,,200,
000000000080000107,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000468,false,HIBE,CONV-COMP,,EA,,400,
000000000010000469,false,ERSA,MILL-LINR,ELL301762,EA,,200,
000000000010000470,false,ERSA,MECH-GBOX,,EA,,,
000000000010000471,false,ERSA,MECH-BRG,,EA,,,
000000000080000108,false,ERSA,MILL-LINR,,EA,,300,
000000000010000472,false,ERSA,CONV-COMP,,EA,,200,
000000000080000109,false,ERSA,MILL-LINR,,EA,,300,
000000000010000473,false,ERSA,MECH-SEAL,,EA,,200,
000000000080000110,false,HIBE,CONV-COMP,,EA,,,
000000000030000106,false,HIBE,MILL-LINR,ELL914927,EA,,100,
000000000080000111,false,ERSA,MECH-SEAL,ELL634614,EA,,400,
000000000010000474,false,ERSA,MECH-PUMP,,EA,,,
000000000010000475,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000476,false,ERSA,ELEC-CTRL,,EA,,,
000000000030000107,false,ERSA,MILL-LINR,,EA,,100,
000000000010000477,false,HIBE,CONV-COMP,,EA,,200,
000000000010000478,false,HIBE,CONV-COMP,ELL656372,EA,,400,
000000000010000479,false,ERSA,MECH-BRG,,EA,,300,
000000000010000480,false,ERSA,MECH-SEAL,,EA,,,
000000000010000481,false,ERSA,CONV-COMP,,EA,,400,
000000000010000482,false,ERSA,MECH-BRG,,EA,,200,
000000000030000108,false,ERSA,MECH-GBOX,,EA,,100,
000000000010000483,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000484,false,ERSA,INST-XMTR,,EA,,400,
000000000010000485,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000486,false,ERSA,INST-XMTR,,EA,,400,
000000000010000487,false,ERSA,MECH-PUMP,,EA,,400,
000000000030000109,false,ERSA,CONV-COMP,,EA,,100,
000000000010000488,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000489,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000490,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000491,false,ERSA,ELEC-CTRL,,EA,,,
000000000010000492,false,HIBE,MILL-LINR,,EA,,200,
000000000010000493,false,ERSA,ELEC-CTRL,,EA,,300,
000000000010000494,false,ERSA,ELEC-CTRL,,EA,,200,
000000000080000112,false,ERSA,MECH-PUMP,ELL242269,EA,,,Z00R
000000000010000495,false,ERSA,ELEC-CTRL,,EA,,,
000000000030000110,false,ERSA,MILL-LINR,,EA,,100,
000000000010000496,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000497,false,HIBE,MECH-GBOX,,EA,,300,
000000000010000498,false,ERSA,MECH-BRG,,EA,,400,
000000000090000025,false,HIBE,INST-XMTR,,EA,01,,
000000000010000499,false,ERSA,MECH-BRG,ELL923336,EA,,300,
000000000010000500,false,ERSA,MECH-BRG,ELL307733,EA,,,
000000000010000501,false,ERSA,INST-XMTR,ELL997842,EA,,300,
000000000030000111,false,ERSA,MECH-GBOX,ELL822081,EA,,100,
000000000010000502,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000503,false,ERSA,CONV-COMP,,EA,,300,
000000000010000504,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000505,false,ERSA,MECH-PUMP,,EA,,,
000000000010000506,false,ERSA,INST-XMTR,ELL913991,EA,,300,
000000000010000507,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000508,false,ERSA,INST-XMTR,,EA,,400,
000000000010000509,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000510,false,ERSA,INST-XMTR,ELL412621,EA,,300,
000000000010000511,false,ERSA,CONV-COMP,ELL730791,EA,,400,
000000000090000026,false,ERSA,HYDR-ASSY,,EA,01,300,
000000000030000112,false,ERSA,MILL-LINR,ELL818106,EA,,100,
000000000010000512,false,ERSA,ELEC-MOTR,,EA,,300,
000000000030000113,false,ERSA,MECH-GBOX,ELL678196,EA,,100,
000000000010000513,false,HIBE,MECH-PUMP,,EA,,200,
000000000010000514,false,HIBE,MILL-LINR,,EA,,400,
000000000080000113,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000515,false,ERSA,CONV-COMP,,EA,,300,
000000000010000516,false,ERSA,CONV-COMP,,EA,,200,
000000000010000517,false,ERSA,HYDR-ASSY,ELL368054,EA,,200,
000000000080000114,false,ERSA,MECH-BRG,,EA,,400,
000000000010000518,false,ERSA,ELEC-MOTR,,EA,,400,
000000000030000114,false,HIBE,MECH-GBOX,,EA,,100,
000000000090000027,false,ERSA,MECH-GBOX,ELL590326,EA,01,,
000000000010000519,false,ERSA,ELEC-CTRL,ELL489615,EA,,300,
000000000010000520,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000521,false,ERSA,MECH-BRG,,EA,,200,
000000000010000522,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000523,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000524,false,ERSA,ELEC-CTRL,,EA,,400,
000000000010000525,false,HIBE,CONV-COMP,ELL261461,EA,,300,
000000000010000526,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000527,false,ERSA,ELEC-CTRL,,EA,,400,
000000000090000028,false,ERSA,CONV-COMP,ELL961528,EA,01,,
000000000030000115,false,ERSA,CONV-COMP,ELL883611,EA,,100,
000000000010000528,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000529,false,HIBE,HYDR-ASSY,ELL577081,EA,,400,
000000000010000530,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000531,false,ERSA,MECH-GBOX,,EA,,,
000000000010000532,false,ERSA,MECH-GBOX,,EA,,300,
000000000010000533,false,ERSA,INST-XMTR,ELL769017,EA,,,
000000000080000115,false,ERSA,MECH-GBOX,,EA,,300,
000000000010000534,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000535,false,HIBE,MECH-BRG,,EA,,400,
000000000030000116,false,ERSA,ELEC-CTRL,,EA,,100,
000000000080000116,false,ERSA,MECH-BRG,,EA,,,
000000000030000117,false,ERSA,MECH-PUMP,,EA,,100,
000000000080000117,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000536,false,ERSA,INST-XMTR,,EA,,,
000000000010000537,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000538,false,ERSA,MECH-BRG,,EA,,300,
000000000030000118,false,HIBE,MECH-GBOX,,EA,,100,
000000000010000539,false,ERSA,ELEC-CTRL,,EA,,,
000000000030000119,false,ERSA,MECH-SEAL,,EA,,100,
000000000080000118,false,ERSA,HYDR-ASSY,ELL916925,EA,,400,
000000000010000540,false,HIBE,MECH-PUMP,,EA,,200,
000000000010000541,false,HIBE,MECH-PUMP,,EA,,300,
000000000010000542,false,ERSA,MECH-BRG,,EA,,200,
000000000010000543,false,HIBE,HYDR-ASSY,,EA,,400,
000000000030000120,false,ERSA,MECH-SEAL,ELL731296,EA,,100,
000000000030000121,false,ERSA,ELEC-MOTR,ELL351919,EA,,100,
000000000080000119,false,ERSA,MECH-BRG,ELL877932,EA,,,
000000000010000544,false,ERSA,MILL-LINR,ELL601489,EA,,200,
000000000010000545,false,HIBE,MECH-PUMP,,EA,,300,
000000000010000546,false,HIBE,ELEC-MOTR,,EA,,200,
000000000010000547,false,ERSA,MECH-GBOX,,EA,,,
000000000030000122,false,ERSA,HYDR-ASSY,,EA,,100,
000000000080000120,false,ERSA,MECH-SEAL,,EA,,400,
000000000030000123,false,ERSA,CONV-COMP,,EA,,100,
000000000080000121,false,ERSA,ELEC-CTRL,ELL280447,EA,,400,
000000000010000548,false,HIBE,MECH-GBOX,,EA,,200,
000000000030000124,false,ERSA,CONV-COMP,,EA,,100,
000000000010000549,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000550,false,ERSA,MECH-BRG,,EA,,400,
000000000030000125,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000551,false,ERSA,MECH-PUMP,ELL963216,EA,,,
000000000030000126,false,ERSA,CONV-COMP,,EA,,100,
000000000010000552,false,ERSA,INST-XMTR,,EA,,,
000000000010000553,false,HIBE,MECH-GBOX,ELL203562,EA,,300,
000000000030000127,false,ERSA,ELEC-MOTR,,EA,,100,
000000000010000554,false,ERSA,MECH-GBOX,,EA,,,
000000000010000555,false,HIBE,MECH-GBOX,,EA,,,
000000000010000556,false,ERSA,MECH-GBOX,ELL735933,EA,,,
000000000010000557,false,ERSA,MILL-LINR,,EA,,200,
000000000010000558,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000559,false,ERSA,INST-XMTR,,EA,,200,
000000000010000560,false,ERSA,MECH-GBOX,,EA,,300,
000000000080000122,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000561,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000562,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000563,false,ERSA,INST-XMTR,,EA,,400,
000000000030000128,false,ERSA,ELEC-MOTR,,EA,,100,
000000000080000123,false,ERSA,MECH-BRG,,EA,,,
000000000090000029,false,ERSA,HYDR-ASSY,,EA,01,300,
000000000090000030,false,ERSA,ELEC-CTRL,,EA,01,300,
000000000010000564,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000565,false,HIBE,MECH-GBOX,ELL378868,EA,,300,
000000000010000566,false,ERSA,ELEC-CTRL,ELL625161,EA,,300,
000000000030000129,false,ERSA,MECH-SEAL,ELL722643,EA,,100,
000000000080000124,false,HIBE,ELEC-MOTR,,EA,,,0001
000000000010000567,false,ERSA,ELEC-CTRL,,EA,,400,
000000000030000130,false,HIBE,INST-XMTR,,EA,,100,
000000000010000568,false,HIBE,CONV-COMP,,EA,,400,
000000000010000569,false,ERSA,MECH-GBOX,,EA,,200,
000000000080000125,false,ERSA,MECH-PUMP,,EA,,400,
000000000030000131,false,ERSA,HYDR-ASSY,,EA,,100,
000000000010000570,false,HIBE,MILL-LINR,,EA,,400,
000000000010000571,false,ERSA,MECH-GBOX,,EA,,,
000000000010000572,false,ERSA,MECH-GBOX,,EA,,,
000000000010000573,false,ERSA,ELEC-CTRL,ELL256936,EA,,300,
000000000010000574,false,ERSA,MECH-SEAL,,EA,,300,
000000000080000126,false,ERSA,MECH-PUMP,,EA,,400,
000000000080000127,false,ERSA,INST-XMTR,,EA,,,Z00R
