id,pr_number,rr_id,creation_date,required_date,status,buyer_id,plant,total_value,source_system,doc_type,duplicate_flag,duplicate_context
194,PR-2194,175,2026-06-02,2026-07-19,PO_CREATED,5,BMM,3027655.1,synthetic,NEW_BUY,false,
195,PR-2195,176,2026-04-02,2026-05-21,PO_CREATED,13,Gamsberg,1047470.3,synthetic,NEW_BUY,false,
196,PR-2196,177,2026-03-28,2026-04-10,PO_CREATED,24,Gamsberg,4958756.16,synthetic,NEW_BUY,false,
197,PR-2197,178,2026-02-26,2026-03-22,PO_CREATED,24,Gamsberg,2395323.24,synthetic,NEW_BUY,false,
198,PR-2198,180,2026-08-09,2026-09-03,AWAITING_RFQ,13,Gamsberg,1862158.77,synthetic,NEW_BUY,false,
199,PR-2199,181,2026-04-11,2026-06-01,PO_CREATED,12,Gamsberg,1080004.61,synthetic,NEW_BUY,false,
200,PR-2200,182,2026-08-10,2026-09-07,PO_CREATED,5,BMM,184826.85,synthetic,NEW_BUY,false,
201,PR-2201,183,2026-07-02,2026-07-10,PO_CREATED,5,Gamsberg,3119884.47,synthetic,NEW_BUY,false,
202,PR-2202,184,2026-07-23,2026-08-20,AWAITING_ARIBA,5,Gamsberg,33231.72,synthetic,NEW_BUY,false,
203,PR-2203,185,2026-07-29,2026-09-21,PO_CREATED,5,BMM,1454566.94,synthetic,NEW_BUY,false,
204,PR-2204,186,2026-06-03,2026-07-07,AWAITING_RFQ,13,BMM,862793.95,synthetic,NEW_BUY,false,
205,PR-2205,187,2026-01-11,2026-02-05,PO_CREATED,13,Gamsberg,36648.09,synthetic,NEW_BUY,false,
206,PR-2206,188,2026-07-15,2026-07-31,PO_CREATED,12,Gamsberg,1391300.8,synthetic,NEW_BUY,false,
207,PR-2207,189,2026-01-24,2026-02-07,PO_CREATED,12,Gamsberg,728461.73,synthetic,NEW_BUY,false,
208,PR-2208,190,2025-12-25,2026-01-27,PO_CREATED,13,BMM,6333792.75,synthetic,NEW_BUY,false,
209,PR-2209,191,2026-02-01,2026-03-17,PO_CREATED,12,Gamsberg,1851440.69,synthetic,NEW_BUY,false,
210,PR-2210,192,2026-06-01,2026-07-24,PO_CREATED,24,Gamsberg,2082227.35,synthetic,NEW_BUY,false,
211,PR-2211,193,2026-04-20,2026-05-09,PO_CREATED,12,BMM,979441.26,synthetic,NEW_BUY,false,
212,PR-2212,194,2026-03-24,2026-05-10,AWAITING_PO,5,Gamsberg,1473372.03,synthetic,NEW_BUY,false,
213,PR-2213,195,2026-04-05,2026-05-19,AWAITING_RFQ,13,Gamsberg,1243378.31,synthetic,NEW_BUY,false,
214,PR-2214,196,2026-08-24,2026-09-12,AWAITING_ARIBA,13,BMM,36166.65,synthetic,NEW_BUY,false,
215,PR-2215,197,2025-12-12,2026-01-23,PO_CREATED,24,Gamsberg,1763786.79,synthetic,NEW_BUY,false,
216,PR-2216,198,2026-04-20,2026-05-26,PO_CREATED,12,BMM,1926748.91,synthetic,NEW_BUY,false,
217,PR-2217,199,2026-07-26,2026-08-11,PO_CREATED,5,Gamsberg,3410098.77,synthetic,NEW_BUY,false,
218,PR-2218,200,2026-01-09,2026-02-08,PO_CREATED,12,BMM,1277147.27,synthetic,NEW_BUY,false,
219,PR-2219,201,2026-01-25,2026-03-18,PO_CREATED,12,Gamsberg,1044983.06,synthetic,NEW_BUY,false,
220,PR-2220,202,2026-07-16,2026-08-22,PO_CREATED,5,Gamsberg,472979.41,synthetic,NEW_BUY,false,
221,PR-2221,203,2026-05-20,2026-06-17,PO_CREATED,24,BMM,316341.76,synthetic,NEW_BUY,false,
222,PR-2222,204,2026-06-19,2026-07-23,PO_CREATED,13,BMM,17757.18,synthetic,NEW_BUY,false,
223,PR-2223,205,2026-06-29,2026-07-26,PO_CREATED,13,Gamsberg,919711.7,synthetic,NEW_BUY,false,
224,PR-2224,206,2026-07-13,2026-07-09,PO_CREATED,5,Gamsberg,890704.36,synthetic,NEW_BUY,false,
225,PR-2225,208,2026-07-07,2026-08-01,PO_CREATED,24,Gamsberg,250197.92,synthetic,NEW_BUY,false,
226,PR-2226,210,2026-08-09,2026-08-30,PO_CREATED,12,Gamsberg,9282.6,synthetic,NEW_BUY,false,
227,PR-2227,211,2026-08-15,2026-09-09,PO_CREATED,12,Gamsberg,90675.36,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-10T03:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 171, ""material_code"": ""80-10171"", ""material_description"": ""Motor Drive Coupling, elastomeric, rated for 11kW"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-09-13"", ""chains"": [{""material_id"": 171, ""material_code"": ""80-10171"", ""material_description"": ""Motor Drive Coupling, elastomeric, rated for 11kW"", ""material_group"": ""Motors"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2043"", ""repair_pr_id"": 43, ""repair_po_number"": ""RPO-3038"", ""repair_po_id"": 38, ""supplier_id"": 7, ""vendor"": ""Vaal Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 5077.14, ""opened_at"": ""2026-08-12"", ""expected_return"": ""2026-09-13"", ""days_open"": 14, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}"
228,PR-2228,212,2026-01-09,2026-02-05,PO_CREATED,13,Gamsberg,333705.8,synthetic,NEW_BUY,false,
229,PR-2229,213,2026-03-10,2026-04-19,PO_CREATED,12,BMM,5778876.5,synthetic,NEW_BUY,false,
230,PR-2230,215,2025-12-31,2026-01-02,PO_CREATED,13,BMM,933.33,synthetic,NEW_BUY,false,
231,PR-2231,216,2026-08-18,2026-09-06,PO_CREATED,24,BMM,10552632.49,synthetic,NEW_BUY,false,
232,PR-2232,217,2026-05-27,2026-06-11,PO_CREATED,24,BMM,1378767.02,synthetic,NEW_BUY,false,
233,PR-2233,218,2026-07-01,2026-07-13,PO_CREATED,12,BMM,38965.2,synthetic,NEW_BUY,false,
234,PR-2234,219,2026-03-23,2026-05-03,PO_CREATED,12,BMM,1022258.19,synthetic,NEW_BUY,false,
235,PR-2235,220,2026-08-12,2026-09-29,PO_CREATED,24,BMM,984767.2,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-05T19:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": null, ""chains"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2020"", ""repair_pr_id"": 20, ""repair_po_number"": null, ""repair_po_id"": null, ""supplier_id"": null, ""vendor"": null, ""quantity_under_repair"": 2.0, ""repair_value"": 43585.68, ""opened_at"": ""2026-08-05"", ""expected_return"": null, ""days_open"": 21, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AWAITING_VENDOR_DISPATCH""}]}]}"
236,PR-2236,221,2026-06-01,2026-06-26,PO_CREATED,13,Gamsberg,122474.5,synthetic,NEW_BUY,false,
237,PR-2237,223,2026-04-25,2026-06-01,PO_CREATED,12,Gamsberg,29470.14,synthetic,NEW_BUY,false,
238,PR-2238,228,2026-04-07,2026-05-06,PO_CREATED,24,BMM,44329.92,synthetic,NEW_BUY,false,
239,PR-2239,229,2026-06-14,2026-08-02,PO_CREATED,5,BMM,178000.52,synthetic,NEW_BUY,false,
240,PR-2240,230,2026-03-26,2026-05-02,PO_CREATED,5,Gamsberg,1090432.72,synthetic,NEW_BUY,false,
241,PR-2241,231,2026-08-08,2026-09-16,PO_CREATED,13,Gamsberg,98433.25,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-05T17:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 43, ""material_code"": ""80-10043"", ""material_description"": ""Ball Valve, 150mm (6\""), full bore, stainless trim"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-09-05"", ""chains"": [{""material_id"": 43, ""material_code"": ""80-10043"", ""material_description"": ""Ball Valve, 150mm (6\""), full bore, stainless trim"", ""material_group"": ""Valves"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2041"", ""repair_pr_id"": 41, ""repair_po_number"": ""RPO-3036"", ""repair_po_id"": 36, ""supplier_id"": 18, ""vendor"": ""Karoo Electromechanical Ltd (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 18312.9, ""opened_at"": ""2026-08-10"", ""expected_return"": ""2026-09-05"", ""days_open"": 16, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}"
242,PR-2242,232,2026-04-20,2026-06-02,PO_CREATED,12,BMM,334671.07,synthetic,NEW_BUY,false,
243,PR-2243,233,2026-04-18,2026-05-27,AWAITING_RFQ,24,BMM,4926706.91,synthetic,NEW_BUY,false,
244,PR-2244,235,2026-02-26,2026-04-02,PO_CREATED,13,Gamsberg,1031002.91,synthetic,NEW_BUY,false,
245,PR-2245,236,2026-07-13,2026-08-13,PO_CREATED,5,BMM,1294906.48,synthetic,NEW_BUY,false,
246,PR-2246,238,2026-01-12,2026-02-18,PO_CREATED,12,Gamsberg,2709610.39,synthetic,NEW_BUY,false,
247,PR-2247,240,2026-08-15,2026-09-09,PO_CREATED,5,BMM,18080.26,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-09T09:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 82, ""material_code"": ""80-10082"", ""material_description"": ""Knife Gate Valve, 100mm (4\""), rubber lined"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-08-03"", ""chains"": [{""material_id"": 82, ""material_code"": ""80-10082"", ""material_description"": ""Knife Gate Valve, 100mm (4\""), rubber lined"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2011"", ""repair_pr_id"": 11, ""repair_po_number"": ""RPO-3010"", ""repair_po_id"": 10, ""supplier_id"": 31, ""vendor"": ""Northern Cape Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 6972.8, ""opened_at"": ""2026-06-19"", ""expected_return"": ""2026-08-03"", ""days_open"": 68, ""days_overdue"": 23, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
248,PR-2248,241,2026-05-24,2026-06-07,PO_CREATED,24,Gamsberg,520681.2,synthetic,NEW_BUY,false,
249,PR-2249,243,2025-12-19,2026-01-22,PO_CREATED,5,BMM,58324.53,synthetic,NEW_BUY,false,
250,PR-2250,245,2026-01-12,2026-02-17,PO_CREATED,24,BMM,1810394.56,synthetic,NEW_BUY,false,
251,PR-2251,246,2026-02-24,2026-04-08,PO_CREATED,13,BMM,468609.18,synthetic,NEW_BUY,false,
252,PR-2252,247,2026-02-19,2026-04-03,PO_CREATED,13,BMM,244032.96,synthetic,NEW_BUY,false,
253,PR-2253,249,2026-04-21,2026-06-03,PO_CREATED,13,BMM,1876114.26,synthetic,NEW_BUY,false,
254,PR-2254,250,2026-07-25,2026-08-22,AWAITING_RFQ,12,Gamsberg,926704.84,synthetic,NEW_BUY,false,
255,PR-2255,251,2026-03-10,2026-04-15,PO_CREATED,5,Gamsberg,232284.45,synthetic,NEW_BUY,false,
256,PR-2256,252,2026-07-05,2026-07-20,AWAITING_RFQ,12,BMM,347371.71,synthetic,NEW_BUY,false,
257,PR-2257,253,2026-02-24,2026-03-01,PO_CREATED,5,Gamsberg,150019.44,synthetic,NEW_BUY,false,
258,PR-2258,254,2026-08-20,2026-09-29,PO_CREATED,12,Gamsberg,81203.1,synthetic,NEW_BUY,false,
259,PR-2259,255,2026-03-20,2026-04-02,PO_CREATED,5,Gamsberg,1538668.04,synthetic,NEW_BUY,false,
260,PR-2260,257,2026-07-06,2026-08-21,PO_CREATED,24,Gamsberg,867538.68,synthetic,NEW_BUY,false,
261,PR-2261,258,2026-05-31,2026-07-11,AWAITING_RFQ,12,Gamsberg,426669.1,synthetic,NEW_BUY,false,
262,PR-2262,259,2026-05-15,2026-07-01,PO_CREATED,5,Gamsberg,153444.59,synthetic,NEW_BUY,false,
263,PR-2263,260,2026-07-23,2026-07-21,PO_CREATED,13,BMM,262554.84,synthetic,NEW_BUY,false,
264,PR-2264,261,2026-01-24,2026-02-14,PO_CREATED,12,BMM,204785.91,synthetic,NEW_BUY,false,
265,PR-2265,262,2026-01-22,2026-02-27,PO_CREATED,5,Gamsberg,384287.06,synthetic,NEW_BUY,false,
266,PR-2266,263,2026-06-18,2026-07-11,PO_CREATED,5,Gamsberg,11297.4,synthetic,NEW_BUY,false,
267,PR-2267,264,2026-06-19,2026-07-21,PO_CREATED,24,BMM,511381.2,synthetic,NEW_BUY,false,
268,PR-2268,265,2026-08-02,2026-08-31,PO_CREATED,13,BMM,4996899.68,synthetic,NEW_BUY,false,
269,PR-2269,266,2026-05-25,2026-06-06,AWAITING_PO,13,Gamsberg,372877.3,synthetic,NEW_BUY,false,
270,PR-2270,267,2026-05-14,2026-06-20,PO_CREATED,24,Gamsberg,2120206.56,synthetic,NEW_BUY,false,
271,PR-2271,268,2026-07-17,2026-07-27,AWAITING_RFQ,13,BMM,1210321.32,synthetic,NEW_BUY,false,
272,PR-2272,269,2026-06-28,2026-07-13,PO_CREATED,12,BMM,1318195.99,synthetic,NEW_BUY,false,
273,PR-2273,270,2026-05-28,2026-07-01,PO_CREATED,13,Gamsberg,271382.2,synthetic,NEW_BUY,false,
274,PR-2274,271,2026-07-11,2026-07-23,PO_CREATED,24,Gamsberg,315141.03,synthetic,NEW_BUY,false,
275,PR-2275,272,2026-08-28,2026-10-12,PO_CREATED,13,Gamsberg,2444174.72,synthetic,NEW_BUY,false,
276,PR-2276,273,2026-04-28,2026-06-16,AWAITING_PO,13,Gamsberg,622192.45,synthetic,NEW_BUY,false,
277,PR-2277,274,2026-01-15,2026-01-17,PO_CREATED,5,Gamsberg,680662.41,synthetic,NEW_BUY,false,
278,PR-2278,275,2025-12-23,2026-01-13,PO_CREATED,5,Gamsberg,1443841.18,synthetic,NEW_BUY,false,
279,PR-2279,276,2026-02-07,2026-03-06,PO_CREATED,5,BMM,497403.98,synthetic,NEW_BUY,false,
280,PR-2280,277,2026-04-20,2026-05-13,PO_CREATED,12,BMM,28213.04,synthetic,NEW_BUY,false,
281,PR-2281,278,2026-08-29,2026-09-19,PO_CREATED,24,BMM,468631.52,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-24T18:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 70, ""material_code"": ""80-10070"", ""material_description"": ""Jaw Crusher Fixed Jaw Plate, wave-profile, manganese steel"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-08-03"", ""chains"": [{""material_id"": 70, ""material_code"": ""80-10070"", ""material_description"": ""Jaw Crusher Fixed Jaw Plate, wave-profile, manganese steel"", ""material_group"": ""Crusher Components"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2031"", ""repair_pr_id"": 31, ""repair_po_number"": ""RPO-3027"", ""repair_po_id"": 27, ""supplier_id"": 31, ""vendor"": ""Northern Cape Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 11471.22, ""opened_at"": ""2026-06-03"", ""expected_return"": ""2026-08-03"", ""days_open"": 84, ""days_overdue"": 23, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
282,PR-2282,279,2026-07-10,2026-07-25,AWAITING_PO,12,Gamsberg,1029364.39,synthetic,NEW_BUY,false,
283,PR-2283,280,2026-08-01,2026-09-05,PO_CREATED,13,Gamsberg,3296851.78,synthetic,NEW_BUY,false,
284,PR-2284,281,2026-08-20,2026-09-06,PO_CREATED,24,Gamsberg,1989500.94,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-17T17:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 51, ""material_code"": ""80-10051"", ""material_description"": ""Mill Trunnion Bearing Liner, discharge end"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-07-29"", ""chains"": [{""material_id"": 51, ""material_code"": ""80-10051"", ""material_description"": ""Mill Trunnion Bearing Liner, discharge end"", ""material_group"": ""Milling Components"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2046"", ""repair_pr_id"": 46, ""repair_po_number"": ""RPO-3041"", ""repair_po_id"": 41, ""supplier_id"": 23, ""vendor"": ""Karoo Pump Solutions (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 126942.6, ""opened_at"": ""2026-05-29"", ""expected_return"": ""2026-07-29"", ""days_open"": 89, ""days_overdue"": 28, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
285,PR-2285,282,2026-05-17,2026-06-10,PO_CREATED,24,Gamsberg,1796998.03,synthetic,NEW_BUY,false,
286,PR-2286,283,2025-12-01,2026-01-05,PO_CREATED,12,BMM,44755.8,synthetic,NEW_BUY,false,
287,PR-2287,284,2026-02-12,2026-02-28,PO_CREATED,13,Gamsberg,1808923.37,synthetic,NEW_BUY,false,
288,PR-2288,285,2026-03-08,2026-04-22,PO_CREATED,5,Gamsberg,2108638.16,synthetic,NEW_BUY,false,
289,PR-2289,286,2026-01-21,2026-02-17,AWAITING_PO,5,Gamsberg,80707.9,synthetic,NEW_BUY,false,
290,PR-2290,287,2026-06-23,2026-07-27,PO_CREATED,12,Gamsberg,496291.58,synthetic,NEW_BUY,false,
291,PR-2291,288,2026-01-31,2026-03-11,PO_CREATED,24,BMM,2131407.12,synthetic,NEW_BUY,false,
292,PR-2292,289,2025-12-29,2026-02-23,AWAITING_PO,24,Gamsberg,161451.36,synthetic,NEW_BUY,false,
293,PR-2293,290,2026-01-11,2026-02-13,PO_CREATED,13,BMM,124654.84,synthetic,NEW_BUY,false,
294,PR-2294,291,2026-07-08,2026-08-19,PO_CREATED,5,Gamsberg,1027097.35,synthetic,NEW_BUY,false,
295,PR-2295,293,2026-01-20,2026-03-02,PO_CREATED,24,Gamsberg,620028.1,synthetic,NEW_BUY,false,
296,PR-2296,294,2026-05-09,2026-05-26,PO_CREATED,24,Gamsberg,291294.89,synthetic,NEW_BUY,false,
297,PR-2297,295,2026-07-20,2026-08-27,PO_CREATED,12,Gamsberg,2493988.12,synthetic,NEW_BUY,false,
298,PR-2298,296,2026-01-22,2026-03-07,PO_CREATED,12,BMM,1777155.0,synthetic,NEW_BUY,false,
299,PR-2299,297,2026-08-13,2026-10-03,PO_CREATED,13,Gamsberg,667266.38,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-08T14:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 37, ""material_code"": ""80-10037"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-08-14"", ""chains"": [{""material_id"": 37, ""material_code"": ""80-10037"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal"", ""material_group"": ""Pumps"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2007"", ""repair_pr_id"": 7, ""repair_po_number"": ""RPO-3006"", ""repair_po_id"": 6, ""supplier_id"": 39, ""vendor"": ""Highveld Electromechanical Ltd (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 47692.88, ""opened_at"": ""2026-06-26"", ""expected_return"": ""2026-08-14"", ""days_open"": 61, ""days_overdue"": 12, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
300,PR-2300,298,2026-08-13,2026-09-11,PO_CREATED,5,BMM,361639.84,synthetic,NEW_BUY,false,
301,PR-2301,299,2026-05-07,2026-05-30,PO_CREATED,24,Gamsberg,78853.04,synthetic,NEW_BUY,false,
302,PR-2302,300,2026-02-16,2026-03-22,PO_CREATED,5,Gamsberg,346601.58,synthetic,NEW_BUY,false,
303,PR-2303,302,2026-01-28,2026-03-16,PO_CREATED,5,Gamsberg,4860.66,synthetic,NEW_BUY,false,
304,PR-2304,303,2026-07-11,2026-08-13,AWAITING_RFQ,12,Gamsberg,674199.12,synthetic,NEW_BUY,false,
305,PR-2305,304,2026-07-11,2026-08-29,PO_CREATED,24,Gamsberg,1447579.2,synthetic,NEW_BUY,false,
306,PR-2306,305,2026-07-29,2026-09-12,PO_CREATED,5,Gamsberg,5300041.5,synthetic,NEW_BUY,false,
307,PR-2307,306,2026-07-21,2026-08-19,PO_CREATED,24,BMM,12709.8,synthetic,NEW_BUY,false,
308,PR-2308,307,2026-05-28,2026-07-15,AWAITING_RFQ,12,BMM,1511328.16,synthetic,NEW_BUY,false,
309,PR-2309,308,2026-07-14,2026-08-05,PO_CREATED,12,Gamsberg,139006.92,synthetic,NEW_BUY,false,
310,PR-2310,309,2026-06-17,2026-07-21,PO_CREATED,12,Gamsberg,4585265.21,synthetic,NEW_BUY,false,
311,PR-2311,311,2026-01-10,2026-01-25,PO_CREATED,24,BMM,16247.46,synthetic,NEW_BUY,false,
312,PR-2312,312,2026-05-01,2026-06-21,AWAITING_RFQ,24,BMM,1243711.54,synthetic,NEW_BUY,false,
313,PR-2313,314,2026-07-31,2026-08-11,PO_CREATED,5,Gamsberg,579654.47,synthetic,NEW_BUY,false,
314,PR-2314,315,2026-05-16,2026-06-10,PO_CREATED,12,Gamsberg,2006194.44,synthetic,NEW_BUY,false,
315,PR-2315,316,2026-01-02,2026-01-18,PO_CREATED,5,Gamsberg,237894.03,synthetic,NEW_BUY,false,
316,PR-2316,317,2026-04-20,2026-05-14,PO_CREATED,12,BMM,6959.2,synthetic,NEW_BUY,false,
317,PR-2317,318,2026-02-12,2026-03-22,PO_CREATED,5,BMM,496695.59,synthetic,NEW_BUY,false,
318,PR-2318,320,2026-04-20,2026-05-12,PO_CREATED,13,Gamsberg,391013.83,synthetic,NEW_BUY,false,
319,PR-2319,322,2026-05-02,2026-05-28,PO_CREATED,13,BMM,2299570.5,synthetic,NEW_BUY,false,
320,PR-2320,323,2026-07-12,2026-08-06,PO_CREATED,13,BMM,42202.16,synthetic,NEW_BUY,false,
321,PR-2321,324,2026-03-10,2026-03-25,PO_CREATED,12,Gamsberg,1680501.5,synthetic,NEW_BUY,false,
322,PR-2322,325,2026-04-15,2026-05-24,PO_CREATED,12,Gamsberg,5219304.75,synthetic,NEW_BUY,false,
323,PR-2323,326,2026-08-15,2026-10-03,PO_CREATED,24,BMM,1582205.13,synthetic,NEW_BUY,false,
324,PR-2324,327,2026-05-01,2026-05-20,PO_CREATED,12,BMM,798486.92,synthetic,NEW_BUY,false,
325,PR-2325,328,2025-12-31,2026-02-17,PO_CREATED,24,Gamsberg,2625563.85,synthetic,NEW_BUY,false,
326,PR-2326,329,2026-05-01,2026-06-25,PO_CREATED,5,Gamsberg,238506.74,synthetic,NEW_BUY,false,
327,PR-2327,330,2026-04-12,2026-04-15,PO_CREATED,13,Gamsberg,405404.64,synthetic,NEW_BUY,false,
328,PR-2328,331,2026-06-12,2026-07-03,PO_CREATED,5,Gamsberg,375344.16,synthetic,NEW_BUY,false,
329,PR-2329,332,2025-12-17,2026-01-17,AWAITING_PO,13,Gamsberg,3003.73,synthetic,NEW_BUY,false,
330,PR-2330,334,2025-12-12,2025-12-31,PO_CREATED,12,Gamsberg,497479.47,synthetic,NEW_BUY,false,
331,PR-2331,335,2026-05-12,2026-05-26,PO_CREATED,12,BMM,1163393.58,synthetic,NEW_BUY,false,
332,PR-2332,336,2026-06-08,2026-07-20,PO_CREATED,5,BMM,2770375.68,synthetic,NEW_BUY,false,
333,PR-2333,337,2026-05-13,2026-05-22,PO_CREATED,13,Gamsberg,203009.0,synthetic,NEW_BUY,false,
334,PR-2334,338,2026-01-21,2026-02-18,PO_CREATED,13,Gamsberg,1839171.5,synthetic,NEW_BUY,false,
335,PR-2335,339,2026-06-01,2026-07-19,PO_CREATED,12,BMM,38794.58,synthetic,NEW_BUY,false,
336,PR-2336,340,2026-08-07,2026-09-23,PO_CREATED,13,Gamsberg,1153742.8,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-07-31T20:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 37, ""material_code"": ""80-10037"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-08-14"", ""chains"": [{""material_id"": 37, ""material_code"": ""80-10037"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal"", ""material_group"": ""Pumps"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2007"", ""repair_pr_id"": 7, ""repair_po_number"": ""RPO-3006"", ""repair_po_id"": 6, ""supplier_id"": 39, ""vendor"": ""Highveld Electromechanical Ltd (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 47692.88, ""opened_at"": ""2026-06-26"", ""expected_return"": ""2026-08-14"", ""days_open"": 61, ""days_overdue"": 12, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
337,PR-2337,343,2026-06-06,2026-06-27,PO_CREATED,24,Gamsberg,52738.38,synthetic,NEW_BUY,false,
338,PR-2338,344,2026-03-24,2026-04-10,PO_CREATED,24,Gamsberg,904057.01,synthetic,NEW_BUY,false,
339,PR-2339,346,2026-01-03,2026-01-23,PO_CREATED,12,Gamsberg,252649.64,synthetic,NEW_BUY,false,
340,PR-2340,349,2026-07-06,2026-08-20,AWAITING_RFQ,13,Gamsberg,13694.04,synthetic,NEW_BUY,false,
341,PR-2341,350,2026-07-20,2026-08-21,PO_CREATED,5,Gamsberg,14220314.53,synthetic,NEW_BUY,false,
342,PR-2342,351,2026-02-22,2026-03-28,PO_CREATED,12,BMM,20839.38,synthetic,NEW_BUY,false,
343,PR-2343,352,2026-03-26,2026-04-16,PO_CREATED,12,Gamsberg,230695.27,synthetic,NEW_BUY,false,
344,PR-2344,353,2026-07-20,2026-08-13,PO_CREATED,12,Gamsberg,335685.91,synthetic,NEW_BUY,false,
345,PR-2345,354,2025-12-06,2026-01-04,PO_CREATED,24,Gamsberg,4602470.4,synthetic,NEW_BUY,false,
346,PR-2346,355,2026-07-30,2026-08-03,PO_CREATED,12,Gamsberg,650854.12,synthetic,NEW_BUY,false,
347,PR-2347,356,2026-08-19,2026-10-05,PO_CREATED,5,BMM,903133.07,synthetic,NEW_BUY,false,
348,PR-2348,357,2026-07-18,2026-08-07,PO_CREATED,5,Gamsberg,222239.16,synthetic,NEW_BUY,false,
349,PR-2349,358,2026-04-21,2026-05-11,PO_CREATED,12,Gamsberg,489725.38,synthetic,NEW_BUY,false,
